a,positive
kawali,negative
tinanggihan,negative
compact,positive
well,positive
mahalay,negative
prosper,positive
banta,negative
glorious,positive
offensive,negative
magkamit,positive
reliable,positive
naghahati,negative
banal,positive
bulok,negative
ilang,negative
pagsisi,negative
maliksi,positive
pagkaalipin,negative
manipulahin,negative
pamamatnubay,positive
nakulong,negative
hirap,negative
maralita,negative
pribilehiyo,positive
makamandag,negative
rekomendasyon,positive
cute,positive
maganda,positive
remedyo,positive
libre,positive
maningning,positive
saya,positive
matalim,positive
hanga,positive
consistent,positive
pinakamataas,positive
gawa,negative
pagpapataw,negative
malasakit,negative
fault,negative
makialam,negative
pagkakatugma,positive
maipagmamalaki,positive
elite,positive
competitive,positive
panunuri,negative
masiyahan,positive
malabo,negative
pantulong,negative
pinakamainam,positive
wasakin,negative
contentious,negative
minamahal,positive
pumipili,positive
gisingin,negative
pundasyon,positive
humatol,negative
pagkain,positive
tago,negative
gaya,positive
repetitive,negative
tunay,positive
pagbawi,positive
pagkahabag,positive
malagkit,negative
pagkabigo,negative
babala,negative
sumira,negative
pagkasunog,negative
hard,negative
pagkakasakit,negative
igalang,positive
glitch,negative
sugat,negative
brutal,negative
sigurado,positive
mamulaklak,positive
baho,negative
malinis,positive
pagpayag,positive
natigil,negative
pala,negative
malalim,positive
yumayabong,positive
sink,negative
gintong,positive
kasunduan,positive
sakop,negative
karangyaan,positive
mahiwaga,negative
floor,negative
lack,negative
infection,negative
dedikado,positive
matatamis,positive
lost,negative
kainaman,negative
pabayaan,negative
rapid,positive
waste,negative
kulubot,negative
talents,positive
ligtas,positive
fiction,negative
pababa,negative
matakot,negative
useful,positive
pekeng,negative
malusog,positive
bug,negative
malapit,positive
pananakop,negative
villains,negative
phobia,negative
guidance,positive
magalit,negative
pinahaba,negative
nakakainis,negative
guro,positive
pansarili,negative
fictional,negative
greatest,positive
matibay,positive
bilangguan,negative
himukin,positive
inactive,negative
nakakuha,positive
pagkasira,negative
tigas,negative
support,positive
pagkalat,negative
sugatan,negative
progresibo,positive
napatunayan,positive
mabisa,positive
intriga,positive
kusa,positive
puna,negative
ideal,positive
kapayapaan,positive
kilalang,positive
champion,positive
tumalo,negative
salat,negative
pagbati,positive
kilo,negative
positive,positive
kapalaran,positive
sobra,negative
pilosopo,negative
tops,positive
galis,negative
magpataw,negative
patunay,positive
pagsamahin,positive
magtayo,negative
idolo,positive
dayain,negative
object,negative
panlinis,positive
mali,negative
lusak,negative
paghahayag,positive
fame,positive
warp,negative
pagpapahiwatig,negative
winning,positive
liko,negative
magaling,positive
ingay,negative
pagkubkob,negative
kalabasa,negative
manguna,positive
paglaban,negative
kapabayaan,negative
trust,positive
tension,negative
paghiwalay,negative
intelligence,positive
palayain,positive
babaero,negative
paniniil,negative
pagpapakamatay,negative
suportahan,positive
failed,negative
important,positive
nakalilito,negative
revival,positive
lipas,negative
hadlangan,negative
magagamit,positive
ligawan,positive
bomba,negative
discontinued,negative
malupit,negative
nabago,positive
hayaan,negative
magapi,negative
maawain,positive
critical,negative
pagkapoot,negative
depekto,negative
satirical,negative
karangalan,positive
awards,positive
matindi,positive
sikat,positive
loud,negative
pagdumi,negative
malinaw,positive
paglakas,positive
breaks,negative
fast,positive
prestihiyo,positive
destroy,negative
sumabog,negative
mapabuti,positive
suliranin,negative
gilas,positive
taksil,negative
popular,positive
kilabot,negative
maingat,positive
